nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit,women,men
Bvlgari Man Wood Essence Bvlgari for men,for men, - woody - aromatic - citrus - amber - fresh spicy, 55.7822%, 15.3375%, 28.8803%, 69.0745%, 100%, 23.5892%, 31.4898%, 4.17607%,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Bvlgari Man Wood Neroli Bvlgari for men,for men, - citrus - white floral - woody - fresh spicy - amber - animalic - aromatic - musky - powdery - fresh, 56.3228%, 10.7048%, 32.9724%, 100%, 93.1343%, 22.6866%, 20.1493%, 3.43284%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Erea Bvlgari for women,for women, - vanilla - warm spicy - amber - aromatic - fresh spicy - powdery - balsamic, 30.8036%, 4.46429%, 64.7321%, 100%, 53.5714%, 14.2857%, 28.5714%, 3.57143%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Goldea Bvlgari for women,for women, - sweet - white floral - woody - yellow floral - amber - musky - fruity - patchouli - powdery - citrus, 46.2474%, 23.9055%, 29.8471%, 53.8566%, 100%, 9.33694%, 41.8133%, 2.02977%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Goldea The Roman Night Bvlgari for women,for women, - white floral - fruity - musky - woody - floral - rose - earthy - fresh spicy - fresh - tuberose, 48.42%, 18.104%, 33.476%, 50.4615%, 100%, 15.5385%, 30.1538%, 0.769231%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Goldea The Roman Night Absolute Bvlgari for women,for women, - white floral - fruity - sweet - vanilla - patchouli - musky - earthy - powdery - woody - mossy, 49.9642%, 16.6786%, 33.3572%, 70.2439%, 100%, 23.4146%, 37.561%, 2.92683%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Man Black Cologne Bvlgari for men,for men, - amber - white floral - citrus - woody - green - rum - tuberose - warm spicy - powdery - animalic, 51.4881%, 17.4405%, 31.0714%, 76.3314%, 100%, 8.28402%, 17.7515%, 0.887574%,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Nylaia Bvlgari for women,for women, - amber - iris - powdery - woody - musky - floral - earthy - vanilla - warm spicy - violet, 26.9461%, 12.8743%, 60.1796%, 100%, 84.6154%, 20.5128%, 15.3846%, 7.69231%,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Omnia Bvlgari for women,for women, - warm spicy - woody - sweet - fresh spicy, 38.4552%, 33.3196%, 28.2253%, 78.7056%, 100%, 7.30689%, 30.8977%, 0.556715%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Omnia Amethyste Bvlgari for women,for women, - powdery - iris - vanilla - woody - almond - floral - violet - green - earthy - citrus, 44.3311%, 34.5677%, 21.1012%, 60.9154%, 100%, 9.72054%, 29.2831%, 1.01256%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Omnia by Mary Katrantzou Bvlgari for women,for women, - white floral - citrus - green - woody - musky - lactonic - fresh - sweet - animalic, 37.1547%, 6.62983%, 56.2155%, 50%, 100%, 52.8571%, 45.7143%, 15.7143%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Omnia Coral Bvlgari for women,for women, - floral - woody - fresh spicy - fruity - musky - citrus - aquatic - sour - powdery - sweet, 45.0764%, 27.4808%, 27.4428%, 53.698%, 100%, 10.8243%, 23.7673%, 0.885978%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Omnia Crystalline Bvlgari for women,for women, - woody - floral - musky - aquatic - green - ozonic - fruity - fresh - powdery - earthy, 41.6116%, 35.6956%, 22.6928%, 64.7903%, 100%, 9.49794%, 25.5814%, 0.630298%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Omnia Crystalline Eau de Parfum Bvlgari for women,for women, - powdery - floral - musky - vanilla - woody - amber - iris - citrus - warm spicy - aquatic, 37.5138%, 29.1896%, 33.2966%, 67.5141%, 100%, 7.76836%, 25.8475%, 0.141243%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Omnia Golden Citrine Bvlgari for women,for women, - yellow floral - sweet - woody - white floral - fruity - citrus - amber - floral - warm spicy, 38.671%, 11.329%, 50%, 37.2881%, 100%, 31.6384%, 38.4181%, 6.77966%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Omnia Green Jade Bvlgari for women,for women, - green - woody - floral - white floral - musky - fresh - citrus - powdery - rose - nutty, 34.2934%, 35.5886%, 30.1179%, 44.4612%, 100%, 3.31575%, 31.3489%, 0.527506%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Omnia Indian Garnet Bvlgari for women,for women, - citrus - fruity - woody - floral - warm spicy - tuberose - amber - white floral, 44.8276%, 30.4075%, 24.7649%, 45.8716%, 100%, 6.5367%, 33.7156%, 0.573395%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Omnia Paraiba Bvlgari for women,for women, - fruity - tropical - sweet - citrus - fresh - floral - white floral - cacao, 44.5046%, 25.1905%, 30.3049%, 55.6384%, 100%, 9.87884%, 31.2209%, 1.30475%,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
