nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit,women,men
A Nocturnal Whisper Perfume Oil Gucci for women and men,for women and men, - leather - warm spicy - oud - amber - animalic - metallic - vanilla - smoky - tobacco, 20.297%, 1.48515%, 78.2178%, 100%, 29.1667%, 12.5%, 20.8333%, 4.16667%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
A Reason To Love Gucci for women and men,for women and men, - rose - floral - oud - fresh - amber - warm spicy - powdery, 22.8464%, 2.24719%, 74.9064%, 100%, 50%, 35.2941%, 5.88235%, 2.94118%,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
A Song For The Rose Eau de Parfum Gucci for women and men,for women and men, - rose - musky - woody - floral - powdery, 35.6345%, 8.02031%, 56.3452%, 100%, 84.2105%, 31.5789%, 21.9298%, 12.2807%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A Winter Melody Scented Water Gucci for women and men,for women and men, - woody - aromatic - fresh spicy - citrus - rose, 27.1144%, 12.4378%, 60.4478%, 78.3784%, 100%, 37.8378%, 62.1622%, 5.40541%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Bloom Gocce di Fiori Gucci for women,for women, - white floral - tuberose - fruity, 45.6164%, 14.7945%, 39.589%, 64.1667%, 100%, 19.1667%, 35.8333%, 8.33333%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Fading Autumn Scented Water Gucci for women and men,for women and men, - woody - earthy - warm spicy - patchouli - powdery, 23.3129%, 8.58896%, 68.0982%, 100%, 78.5714%, 39.2857%, 39.2857%, 10.7143%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Flora Gorgeous Jasmine Gucci for women,for women, - citrus - white floral - floral - woody - warm spicy - fresh spicy - amber, 49.4811%, 7.8066%, 42.7123%, 82.266%, 100%, 46.3054%, 31.1987%, 10.3448%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Gucci Bloom Gucci for women,for women, - white floral - tuberose, 56.3301%, 18.4711%, 25.1989%, 77.4958%, 100%, 23.2387%, 47.379%, 8.28047%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Gucci Bloom Acqua di Fiori Gucci for women,for women, - white floral - green - aromatic - fruity - woody - musky - fresh - tuberose - soft spicy - floral, 52.1454%, 19.7656%, 28.089%, 56.2559%, 100%, 22.4835%, 38.6642%, 3.48072%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Gucci Bloom Ambrosia di Fiori Gucci for women,for women, - white floral - tuberose - rose, 52.5066%, 13.6324%, 33.861%, 90.4847%, 100%, 22.6212%, 36.6248%, 5.74506%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Gucci Bloom Hair Mist Gucci for women,for women, - white floral - powdery - green - iris - vanilla - woody - citrus - tuberose, 30.6122%, 16.3265%, 53.0612%, 100%, 83.3333%, 0%, 0%, 0%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Gucci Bloom Intense Gucci for women,for women, - white floral - tuberose - fruity - sweet - warm spicy - earthy - patchouli - mossy, 36.4182%, 5.14139%, 58.4404%, 84.0764%, 100%, 41.4013%, 27.3885%, 10.1911%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Gucci Bloom Nettare Di Fiori Gucci for women,for women, - white floral - tuberose - fruity - floral - warm spicy - musky - animalic, 55.3178%, 17.1806%, 27.5016%, 62.1662%, 100%, 17.5074%, 35.3116%, 4.74777%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Gucci Bloom Profumo Di Fiori Gucci for women,for women, - white floral - tuberose - woody - yellow floral - floral - powdery - sweet - musky - animalic, 50.8328%, 10.8927%, 38.2745%, 89.2857%, 100%, 35.5042%, 27.7311%, 11.7647%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Gucci Garden Gucci for women and men,for women and men, - violet - yellow floral - powdery - woody - aromatic - sweet - herbal - floral - citrus - honey, 8.125%, 0%, 91.875%, 100%, 80%, 40%, 0%, 20%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gucci Guilty Absolute Gucci for men,for men, - woody - leather - aromatic - animalic - earthy - patchouli - smoky, 61.9769%, 11.2153%, 26.8078%, 100%, 51.6328%, 8.34543%, 26.3062%, 6.7852%,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Gucci Guilty Absolute pour Femme Gucci for women,for women, - woody - fruity - rose - aromatic - patchouli - sweet - fresh spicy - earthy, 51.0888%, 16.5068%, 32.4044%, 88.0634%, 100%, 16.611%, 33.4725%, 2.67112%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Gucci Guilty Cologne pour Homme Gucci for men,for men, - woody - aromatic - fresh spicy - powdery - violet - citrus - musky, 57.5116%, 12.5083%, 29.9801%, 86.6171%, 100%, 20.4461%, 67.658%, 8.55019%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Gucci Guilty Love Edition Pour Femme Gucci for women,for women, - powdery - floral - violet - musky - fruity - sweet - citrus - fresh - woody - aquatic, 43.1145%, 12.677%, 44.2085%, 55.642%, 100%, 27.2374%, 45.9144%, 3.11284%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Gucci Guilty Love Edition Pour Homme Gucci for men,for men, - aromatic - citrus - fresh spicy - warm spicy - woody - lavender - earthy - herbal - fresh, 53.5151%, 12.6255%, 33.8594%, 70.8029%, 100%, 26.2774%, 46.7153%, 3.64963%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Gucci Guilty Oud Gucci for women and men,for women and men, - rose - oud - fruity - woody - patchouli - earthy - leather - amber - sweet - animalic, 35.6187%, 8.27759%, 56.1037%, 100%, 58.3893%, 12.0805%, 16.7785%, 1.34228%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Guilty Love Edition MMXXI pour Femme Gucci for women,for women, - floral - violet - powdery - fresh - citrus - fresh spicy - soft spicy - patchouli - woody - aromatic, 44.3182%, 12.9545%, 42.7273%, 74.1936%, 100%, 51.6129%, 33.871%, 3.22581%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Guilty Love Edition MMXXI pour Homme Gucci for men,for men, - citrus - white floral - lavender - aromatic - woody - sweet - patchouli - honey - fresh spicy - floral, 53.7849%, 9.16335%, 37.0518%, 78.3784%, 100%, 43.2432%, 32.4324%, 2.7027%,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Hortus Sanitatis Gucci for women and men,for women and men, - woody - aromatic - earthy - green - warm spicy, 22.0544%, 1.81269%, 76.1329%, 100%, 25%, 8.33333%, 30.5556%, 8.33333%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Love At Your Darkest Gucci for women and men,for women and men, - fresh spicy - woody - amber - warm spicy - aromatic, 22.3629%, 4.21941%, 73.4177%, 81.4815%, 100%, 37.037%, 40.7407%, 22.2222%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Mémoire d’une Odeur Gucci for women and men,for women and men, - herbal - woody - floral - musky - powdery - almond - aromatic - white floral - nutty - sweet, 58.8718%, 11.4996%, 29.6286%, 85.0488%, 100%, 27.4179%, 48.7578%, 8.82875%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Moonlight Serenade Scented Water Gucci for women and men,for women and men, - lavender - aromatic - herbal - fresh spicy - soft spicy, 25.7377%, 8.19672%, 66.0656%, 60.9375%, 100%, 37.5%, 23.4375%, 4.6875%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ode on Melancholy Perfume Oil Gucci for women and men,for women and men, - woody - earthy - powdery, 16.3636%, 2.72727%, 80.9091%, 100%, 52%, 24%, 16%, 8%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Tears From The Moon Gucci for women and men,for women and men, - white floral - fresh - floral - rose - green, 22.409%, 4.20168%, 73.3894%, 100%, 72.6027%, 27.3973%, 10.9589%, 30.137%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Tears Of Iris Eau de Parfum Gucci for women and men,for women and men, - powdery - iris - musky - woody - violet - earthy - amber, 26.9149%, 7.44681%, 65.6383%, 84.466%, 100%, 28.1553%, 15.534%, 0.970874%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
The Eyes Of The Tiger Eau de Parfum Gucci for women and men,for women and men, - amber - vanilla - powdery, 31.0757%, 8.16733%, 60.757%, 93.8597%, 100%, 25.4386%, 21.0526%, 5.26316%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
The Last Day Of Summer Eau de Parfum Gucci for women and men,for women and men, - woody - aromatic - fresh spicy - patchouli - earthy, 31.0034%, 7.10259%, 61.894%, 100%, 88.5714%, 30.4762%, 23.8095%, 4.7619%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
The Virgin Violet Eau de Parfum Gucci for women and men,for women and men, - powdery - violet - iris - musky - floral - vanilla, 27.6974%, 6.34038%, 65.9622%, 100%, 70.297%, 26.7327%, 13.8614%, 2.9703%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
The Voice Of The Snake Eau de Parfum Gucci for women and men,for women and men, - oud - warm spicy - patchouli - woody - metallic - earthy - leather - tobacco, 34.2235%, 5.19288%, 60.5836%, 100%, 50.3623%, 15.942%, 15.5797%, 5.07246%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Winter's Spring Eau de Parfum Gucci for women and men,for women and men, - yellow floral - powdery - musky - floral - sweet - fresh spicy, 31.5166%, 8.05687%, 60.4265%, 100%, 86.7925%, 25.4717%, 14.1509%, 1.88679%,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Herve Leger Herve Leger for women,for women, - powdery - floral - vanilla - fruity - woody - musky - sweet - amber - soft spicy - lactonic, 42.9091%, 30.5455%, 26.5455%, 100%, 88.5246%, 3.27869%, 24.5902%, 0%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Ines de la Fressange 2004 Ines de la Fressange for women,for women, - floral - rose - citrus - fresh - woody - white floral - fruity - aromatic - green - musky, 41.7266%, 24.8201%, 33.4532%, 70.8333%, 100%, 6.25%, 25%, 2.08333%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
J'ai Trois Amours Infiniment Coty Paris for women and men,for women and men, - white floral - fruity - floral - green, 19.3548%, 0%, 80.6452%, 100%, 0%, 50%, 0%, 0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Blessed Baraka Initio Parfums Prives for women and men,for women and men, - powdery - amber - woody - musky - warm spicy - animalic, 43.5368%, 9.78748%, 46.6758%, 100%, 49.4048%, 17.2619%, 15.8333%, 5.2381%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Manifesto Isabella Rossellini for women,for women, - fresh spicy - white floral - aromatic - citrus - green - herbal, 33.0645%, 47.3607%, 19.5748%, 52.1605%, 100%, 3.39506%, 43.2099%, 0.617284%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d'Issey City Blossom Issey Miyake for women,for women, - floral - fresh - citrus - musky - ozonic - rose - white floral - soft spicy - woody, 36%, 14%, 50%, 44.898%, 100%, 10.2041%, 59.1837%, 2.04082%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d'Issey Florale Issey Miyake for women,for women, - rose - white floral - woody - citrus - floral - soft spicy, 44.368%, 27.1775%, 28.4545%, 51.797%, 100%, 2.64271%, 25.5814%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d'Issey pour Homme Oceanic Expedition Issey Miyake for men,for men, - citrus - aromatic - marine - fresh spicy - warm spicy, 34.9908%, 16.9429%, 48.0663%, 100%, 78.1609%, 9.1954%, 26.4368%, 1.14943%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
L'Eau d'Issey Pour Homme Summer 2013 Issey Miyake for men,for men, - fruity - aromatic - citrus - fresh spicy - tropical - woody - sweet - fresh - earthy, 43.4018%, 25.6598%, 30.9384%, 93.4307%, 100%, 2.18978%, 15.3285%, 0.729927%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
L'Eau d'Issey Pour Homme Summer 2016 Issey Miyake for men,for men, - fruity - aromatic - woody - citrus - fresh spicy - sweet - tropical - fresh - earthy, 49.6552%, 14.2529%, 36.092%, 100%, 77.1739%, 4.34783%, 6.52174%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
L'Eau d'Issey Pour Homme Summer 2017 Issey Miyake for men,for men, - aromatic - fruity - woody - fresh spicy - citrus - sweet - tropical - fresh - earthy, 52.1236%, 13.5135%, 34.3629%, 100%, 91.8367%, 8.16327%, 14.2857%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
L'Eau d'Issey Pour Homme Summer 2018 Issey Miyake for men,for men, - aromatic - fruity - woody - fresh spicy - citrus - tropical - sweet - fresh - earthy, 56.8513%, 11.0787%, 32.07%, 100%, 53.7313%, 5.97015%, 10.4478%, 1.49254%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
L'Eau d'Issey Reflection In A Drop Issey Miyake for women,for women, - citrus - floral - rose - musky - aquatic - ozonic - powdery - sweet, 29.1022%, 27.2446%, 43.6533%, 57.1429%, 100%, 3.57143%, 32.1429%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d'Issey Summer 2013 Issey Miyake for women,for women, - fruity - tropical - floral - citrus - fresh - sweet - woody, 35.5072%, 25%, 39.4928%, 44.4444%, 100%, 1.38889%, 45.8333%, 0%,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d'Issey Summer 2016 Issey Miyake for women,for women, - fruity - tropical - citrus - woody - fresh - fresh spicy - vanilla, 36.3248%, 15.812%, 47.8632%, 21.6667%, 100%, 3.33333%, 31.6667%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d'Issey Summer 2017 Issey Miyake for women,for women, - aquatic - fresh - fruity - tropical - floral - citrus, 47.3958%, 16.6667%, 35.9375%, 45.9459%, 100%, 16.2162%, 32.4324%, 0%,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d'Issey Summer 2018 Issey Miyake for women,for women, - fruity - tropical - fresh - citrus - sweet - vanilla - woody, 40.6452%, 18.0645%, 41.2903%, 23.0769%, 100%, 7.69231%, 23.0769%, 0%,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau D'Issey Une goutte sur un Petale Issey Miyake for women,for women, - citrus - powdery - sweet - woody - musky - rose, 28.2895%, 21.0526%, 50.6579%, 62.5%, 100%, 0%, 12.5%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
L'Eau d’Issey Lotus Issey Miyake for women,for women, - aquatic - floral - fresh - white floral - green - musky - ozonic - fresh spicy - woody, 29.8271%, 12.536%, 57.6369%, 52.5862%, 100%, 3.44828%, 35.3448%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
L’Eau d’Issey Pour Homme Sport Mint Issey Miyake for men,for men, - aromatic - citrus - fresh spicy - green - woody - earthy, 30.8271%, 14.2857%, 54.8872%, 36.3636%, 100%, 3.63636%, 25.4545%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Esencia de Duende Jesus Del Pozo for women,for women, - citrus - floral - woody - aromatic - fresh spicy - white floral - green - rose, 34.2878%, 44.8605%, 20.8517%, 72.381%, 100%, 3.49206%, 21.2698%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Kenzo for women,for women, - powdery - floral - violet - rose - amber - vanilla - musky - sweet - balsamic - woody, 39.8499%, 46.1099%, 14.0402%, 66.7713%, 100%, 12.4861%, 67.1592%, 5.67048%,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Flower by Kenzo 20th Anniversary Edition Kenzo for women,for women, - musky - rose - powdery - soft spicy - violet - floral - aromatic - vanilla - fruity - green, 40.367%, 10.0917%, 49.5413%, 58.3333%, 100%, 25%, 33.3333%, 0%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Flower by Kenzo Eau de Lumière Kenzo for women,for women, - powdery - violet - floral - musky - white floral - citrus - vanilla - fruity - rose - woody, 56.1702%, 19.7447%, 24.0851%, 77.9167%, 100%, 13.3333%, 26.25%, 2.08333%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Flower by Kenzo Eau de Toilette (2021) Kenzo for women,for women, - powdery - musky - citrus - floral - rose - yellow floral - herbal - vanilla - sweet - aromatic, 54.7091%, 17.036%, 28.2548%, 46.9799%, 100%, 26.1745%, 22.1477%, 1.34228%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Eau de Vie Kenzo for women,for women, - citrus - white floral - vanilla - warm spicy - musky - sweet - amber - powdery - aromatic - fresh, 54.8972%, 16.5659%, 28.5369%, 77.931%, 100%, 17.2414%, 48.2759%, 6.2069%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Flower by Kenzo Eau Florale Kenzo for women,for women, - citrus - floral - rose - fresh - vanilla - musky - powdery, 27.5362%, 15.942%, 56.5217%, 52.381%, 100%, 33.3333%, 42.8571%, 4.7619%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Edition d'Artistes Kenzo for women,for women, - powdery - violet - rose - floral - vanilla - musky - amber - woody - sweet - fresh, 19.1489%, 18.0851%, 62.766%, 38.4615%, 100%, 0%, 7.69231%, 0%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Flower by Kenzo Essentielle Kenzo for women,for women, - musky - vanilla - rose - amber - floral - smoky - fresh spicy - powdery - balsamic - warm spicy, 41.8564%, 36.8651%, 21.2785%, 75%, 100%, 2.5%, 45%, 1.42857%,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Flower by Kenzo L'Absolue Kenzo for women,for women, - vanilla - rose - warm spicy - musky - white floral - powdery - metallic - sweet - leather - citrus, 44.508%, 11.4416%, 44.0503%, 68.3099%, 100%, 59.1549%, 40.1408%, 5.6338%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Flower by Kenzo L'Eau Originelle Kenzo for women,for women, - floral - fresh - aquatic - musky - citrus - rose - powdery - warm spicy - violet, 34.7134%, 28.6624%, 36.6242%, 48.2143%, 100%, 8.92857%, 41.0714%, 3.57143%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo L'Elixir Kenzo for women,for women, - sweet - powdery - fruity - vanilla - rose - citrus, 50.4618%, 15.8774%, 33.6608%, 100%, 60.201%, 7.43719%, 14.9749%, 0.703518%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Flower by Kenzo La Cologne Kenzo for women,for women, - citrus - fresh spicy - white floral - sweet - floral - vanilla - musky - powdery - aromatic, 46.6454%, 29.0735%, 24.2812%, 64.0625%, 100%, 3.125%, 51.5625%, 1.5625%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Le Parfum Kenzo for women,for women, - powdery - almond - vanilla - violet - floral - musky - rose - sweet - nutty - fruity, 37.2418%, 32.3283%, 30.4299%, 100%, 84.9711%, 2.89017%, 22.5434%, 0%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Flower by Kenzo Oriental Kenzo for women,for women, - amber - smoky - warm spicy - vanilla - fresh spicy - balsamic - floral - powdery - violet - rose, 36.7913%, 25.7539%, 37.4548%, 100%, 98.9286%, 2.5%, 27.5%, 0%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Flower by Kenzo Poppy Bouquet Couture Edition Kenzo for women,for women, - white floral - fruity - rose - woody - nutty - aquatic - lactonic - green - floral, 34.5679%, 6.17284%, 59.2593%, 87.5%, 100%, 25%, 0%, 0%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Flower by Kenzo Poppy Bouquet Eau de Parfum Kenzo for women,for women, - white floral - fruity - rose - woody - nutty - lactonic - aquatic - green, 50.5968%, 22.2626%, 27.1406%, 41.1622%, 100%, 28.8136%, 28.8136%, 4.60048%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Poppy Bouquet Eau de Toilette Kenzo for women,for women, - white floral - almond - citrus - musky - green - fruity - nutty - floral - rose - sweet, 38.8372%, 14.4186%, 46.7442%, 21.8391%, 100%, 28.7356%, 16.092%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Red Edition Kenzo for women,for women, - citrus - floral - white floral - sweet - tropical - vanilla - yellow floral - musky - powdery - salty, 38.1132%, 19.6226%, 42.2642%, 63.4146%, 100%, 9.7561%, 43.9024%, 7.31707%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Flower by Kenzo Spring Fragrance Kenzo for women,for women, - floral - powdery - violet - musky - fresh - fruity - citrus - tropical - warm spicy, 31.1258%, 42.3841%, 26.4901%, 53.5714%, 100%, 7.14286%, 66.0714%, 0%,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Summer 2008 Kenzo for women,for women, - floral - warm spicy - citrus - violet - powdery - fresh - musky - fruity, 20.3125%, 47.3958%, 32.2917%, 33.3333%, 69.0476%, 4.7619%, 100%, 0%,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Flower by Kenzo Summer 2011 Kenzo for women,for women, - violet - powdery - floral - fruity - fresh - citrus - tropical - musky - warm spicy - aquatic, 33.6364%, 26.3636%, 40%, 31.3726%, 100%, 1.96078%, 21.5686%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower Ikebana Sakura Kenzo for women,for women, - woody - tuberose - floral - white floral - powdery - fresh - aromatic - warm spicy, 31.4706%, 4.41176%, 64.1176%, 82.6087%, 100%, 51.087%, 36.9565%, 4.34783%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Flower in the Air Kenzo for women,for women, - rose - floral - fruity - sweet - musky - white floral - citrus - soft spicy - powdery - lactonic, 43.2836%, 25.9393%, 30.7771%, 48.0144%, 100%, 9.38628%, 29.0614%, 0.902527%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower in the Air Eau de Toilette Kenzo for women,for women, - floral - rose - musky - citrus - fruity - sweet - powdery - aquatic, 47.486%, 28.771%, 23.743%, 43.299%, 100%, 6.18557%, 27.8351%, 1.03093%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower in the Air Eau Florale Kenzo for women,for women, - fruity - tropical - rose - woody - sweet - fresh - floral - musky - aldehydic - mineral, 18.4211%, 13.1579%, 68.4211%, 30%, 100%, 0%, 50%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Flower in the Air Summer Edition Kenzo for women,for women, - fruity - floral - woody - rose - sour - fresh - musky - soft spicy - sweet - tropical, 29.7101%, 15.942%, 54.3478%, 33.3333%, 100%, 4.16667%, 33.3333%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Madly Kenzo Oud Collection Kenzo for women,for women, - oud - vanilla - rose - warm spicy - amber - powdery - leather - soft spicy - patchouli - floral, 24.3028%, 14.3426%, 61.3546%, 86.6667%, 100%, 1.33333%, 36%, 0%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Summer by Kenzo Kenzo for women,for women, - powdery - floral - yellow floral - citrus - white floral - sweet - fresh - almond - woody - musky, 32.9057%, 41.8854%, 25.2088%, 76.284%, 100%, 5.28701%, 38.6707%, 0.151057%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Le Chant de Camargue L'Artisan Parfumeur for women and men,for women and men, - woody - white floral - floral - powdery - citrus - savory - fresh - warm spicy - green - lactonic, 24.181%, 8.73635%, 67.0827%, 68.6275%, 100%, 24.5098%, 36.2745%, 2.94118%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Miracle Lancôme for women,for women, - floral - citrus - warm spicy - fresh spicy - fruity - fresh - tropical - white floral - musky, 37.5004%, 45.9536%, 16.546%, 59.5967%, 100%, 7.62583%, 30.6398%, 1.16737%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Miracle Tendre Voyage Lancôme for women,for women, - rose - floral - fresh - citrus - powdery - woody - violet - musky, 21.0227%, 28.4091%, 50.5682%, 66.6667%, 100%, 0%, 28.5714%, 4.7619%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Lanvin L'Homme Lanvin for men,for men, - aromatic - fresh spicy - citrus - lavender - green - herbal - warm spicy - powdery - musky - woody, 47.407%, 29.9484%, 22.6446%, 59.1946%, 100%, 9.12752%, 16.9128%, 1.87919%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Oxygene Lanvin for women,for women, - lactonic - fresh spicy - powdery - white floral - musky - iris - woody - warm spicy - violet - citrus, 41.7948%, 34.2741%, 23.931%, 52.0392%, 100%, 9.21697%, 42.5775%, 2.12072%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Oxygene Homme Lanvin for men,for men, - aromatic - woody - fresh spicy - herbal, 43.9596%, 33.1027%, 22.9377%, 39.9027%, 100%, 10.7056%, 30.9002%, 1.94647%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Tubereuse 40 New York Le Labo for women and men,for women and men, - white floral - citrus - woody - tuberose - aromatic - sweet - green - fresh spicy - floral, 36.2162%, 12.973%, 50.8108%, 94.382%, 100%, 23.5955%, 37.0787%, 4.49438%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Vanille 44 Paris Le Labo for women and men,for women and men, - vanilla - woody - smoky - amber - balsamic - citrus - powdery - warm spicy - aldehydic - sweet, 34.9822%, 8.31025%, 56.7076%, 100%, 76.3298%, 17.8191%, 17.8191%, 1.06383%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Esencia Femme Loewe for women,for women, - floral - citrus - powdery - musky - sweet - woody - rose - green - fresh spicy - warm spicy, 30.9859%, 34.8592%, 34.1549%, 100%, 81.6327%, 6.12245%, 22.449%, 0%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Lotus Fraiche Lotus for men,for men, - citrus - white floral - fresh - woody - fresh spicy - floral, 14.2857%, 14.2857%, 71.4286%, 63.6364%, 9.09091%, 0%, 100%, 9.09091%,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Lotus Intense Lotus for women and men,for women and men, - aromatic - woody - fresh spicy - warm spicy - leather - conifer - citrus - patchouli - amber - fresh, 20%, 10%, 70%, 61.5385%, 7.69231%, 0%, 100%, 7.69231%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lotus Oud Lotus for women and men,for women and men, - woody - amber - warm spicy - aromatic - oud - sweet - vanilla - powdery - earthy - balsamic, 5.88235%, 5.88235%, 88.2353%, 83.3333%, 16.6667%, 0%, 100%, 16.6667%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Daisy Marc Jacobs for women,for women, - white floral - ozonic - powdery - violet - citrus - aquatic - fruity - sweet - woody - musky, 46.8792%, 30.7988%, 22.322%, 53.6484%, 100%, 14.2133%, 36.864%, 2.11841%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Daisy 10th Anniversary Edition Marc Jacobs for women,for women, - violet - powdery - white floral - fruity - ozonic - sweet - aquatic - floral - citrus - woody, 35.3742%, 11.5646%, 53.0612%, 80%, 100%, 13.3333%, 26.6667%, 0%,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
