nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Fame Parfum Paco Rabanne for women,for women, - tropical - woody - amber - fruity - warm spicy - sweet - white floral - powdery - musky - balsamic, 40.6151%, 5.28391%, 54.101%, 100%, 96.732%, 41.8301%, 15.6863%, 12.4183%, 85.9756%, 81.0976%, 65.2439%, 100%, 82.3171%, 97.561%
Pedro Del Hierro Pedro Del Hierro for women,for women, - citrus - aromatic - woody - powdery - musky - white floral - fresh spicy - rose - floral, 8%, 44%, 48%, 0%, 100%, 0%, 0%, 0%, 40%, 100%, 40%, 40%, 80%, 20%
Iris Prima Penhaligon's for women and men,for women and men, - iris - powdery - leather - woody - amber - earthy - animalic - violet - vanilla - citrus, 45.0957%, 17.1551%, 37.7491%, 81.1321%, 100%, 8.49057%, 20.7547%, 0.377359%, 47.1572%, 80.602%, 32.107%, 92.9766%, 100%, 33.4448%
The Inimitable William Penhaligon Penhaligon's for men,for men, - woody - aromatic - amber - powdery - warm spicy - citrus - earthy, 37.1345%, 7.60234%, 55.2632%, 100%, 99.1071%, 40.625%, 13.3929%, 4.91071%, 80.695%, 75.2896%, 32.4324%, 100%, 85.7143%, 66.0232%
The Tragedy of Lord George Penhaligon's for men,for men, - woody - amber - vanilla - warm spicy - sweet, 38.9753%, 8.19734%, 52.8273%, 100%, 75.0314%, 25.0941%, 16.5621%, 3.63865%, 92.8105%, 46.2745%, 19.4771%, 100%, 68.2353%, 86.7974%
Bronze Phebo for women and men,for women and men, - powdery - vanilla - woody - amber - rum - warm spicy - musky - sweet - almond, 45.3237%, 6.76259%, 47.9137%, 100%, 64.1221%, 9.92366%, 6.10687%, 0.763359%, 89.0756%, 50.4202%, 18.4874%, 100%, 56.3025%, 95.7983%
Bronze Intenso Phebo for women and men,for women and men, - powdery - woody - vanilla - amber - rum - musky - almond - warm spicy - sweet, 21.7822%, 2.9703%, 75.2475%, 100%, 13.0435%, 8.69565%, 4.34783%, 0%, 81.8182%, 36.3636%, 9.09091%, 100%, 45.4545%, 90.9091%
No Limit$ Philipp Plein Parfums for men,for men, - warm spicy - leather - woody - amber - smoky - chocolate - vanilla - animalic - fresh spicy - sweet, 61.4118%, 10.1765%, 28.4118%, 100%, 67.8451%, 21.2121%, 28.7879%, 23.7374%, 100%, 42.2721%, 17.041%, 95.1123%, 42.14%, 90.6209%
No Limit$ Gold Philipp Plein Parfums for men,for men, - citrus - warm spicy - aromatic - white floral - fresh spicy - amber - balsamic - patchouli, 53.3632%, 7.17489%, 39.4619%, 100%, 53.3333%, 26.6667%, 35.5556%, 33.3333%, 90.7407%, 100%, 62.963%, 98.1482%, 94.4444%, 98.1482%
No Limit$ Super Fre$h Philipp Plein Parfums for men,for men, - woody - leather - aromatic - fresh spicy - warm spicy - sweet - vanilla - animalic - powdery - citrus, 59.6817%, 10.0796%, 30.2387%, 100%, 81.6667%, 22.5%, 21.6667%, 27.5%, 80.2548%, 92.3567%, 55.414%, 100%, 80.8917%, 92.3567%
Plein Fatale Philipp Plein Parfums for women,for women, - sweet - woody - fruity - musky - white floral - vanilla - amber - powdery - soft spicy - yellow floral, 35.514%, 11.6822%, 52.8037%, 74.2857%, 100%, 71.4286%, 45.7143%, 40%, 69.4444%, 86.1111%, 66.6667%, 75%, 100%, 75%
Plein Fatale Rosé Philipp Plein Parfums for women,for women, - rose - fruity - amber - floral - woody - citrus - musky - white floral - tropical, 42.2764%, 2.43902%, 55.2846%, 42.8571%, 100%, 52.381%, 28.5714%, 23.8095%, 42.1053%, 100%, 63.1579%, 36.8421%, 78.9474%, 42.1053%
The $kull Philipp Plein Parfums for women and men,for women and men, - leather - animalic - aquatic - amber - vanilla - warm spicy - fresh - balsamic - woody - smoky, 30%, 5.5%, 64.5%, 84.2105%, 34.2105%, 13.1579%, 100%, 44.7368%, 96.7742%, 83.871%, 48.3871%, 90.3226%, 67.7419%, 100%
Enigme Pierre Cardin for men,for men, - woody - warm spicy - aromatic - amber - mossy - earthy - powdery - floral - musky - balsamic, 29.4118%, 15.508%, 55.0802%, 100%, 85%, 15%, 5%, 5%, 90%, 40%, 20%, 100%, 40%, 65%
Midnight Romance Ralph Lauren for women,for women, - fruity - floral - fresh - sweet - rose - iris - powdery - vanilla - white floral - tropical, 44.1714%, 22.0571%, 33.7714%, 58.1281%, 100%, 6.15764%, 33.0049%, 0.985222%, 43.662%, 93.4272%, 64.3192%, 60.5634%, 100%, 77.9343%
Encens Saba Reine de Saba for women and men,for women and men, - amber - warm spicy - woody - fresh spicy - balsamic - leather - patchouli, 15.5172%, 1.72414%, 82.7586%, 100%, 45.4545%, 54.5455%, 0%, 0%, 100%, 60%, 0%, 80%, 40%, 100%
Fiori di Essenza Divina Renato Balestra for women,for women, - woody - fresh spicy - citrus - amber - yellow floral - aromatic - animalic - white floral - sweet - musky, 18.1818%, 0%, 81.8182%, 66.6667%, 100%, 0%, 0%, 0%, 50%, 100%, 0%, 75%, 50%, 50%
Roberto Cavalli Man Roberto Cavalli for men,for men, - citrus - aromatic - woody - warm spicy - lavender - fresh spicy - powdery - musky - fresh - leather, 41.8079%, 32.3917%, 25.8004%, 74.5098%, 100%, 5.88235%, 20.5882%, 0%, 21.8391%, 82.7586%, 95.4023%, 51.7241%, 100%, 43.6782%
VV Roberto Verino for women,for women, - citrus - fruity - fresh spicy - warm spicy - musky - green - fresh, 25.7032%, 59.0689%, 15.2279%, 34.5679%, 100%, 2.88066%, 40.7407%, 0%, 9.42408%, 71.7277%, 88.4817%, 16.2304%, 100%, 8.37696%
Byzance Rochas for women,for women, - warm spicy - white floral - powdery - woody - floral - aldehydic - tuberose - aromatic - fresh - vanilla, 38.6373%, 34.6647%, 26.698%, 100%, 90.2913%, 3.8835%, 19.6602%, 0.849515%, 83.6502%, 33.0799%, 17.6806%, 71.673%, 45.6274%, 100%
Byzantine Rochas for women,for women, - floral - powdery - white floral - yellow floral - citrus - warm spicy - woody - sweet - green - vanilla, 33.7393%, 22.8989%, 43.3618%, 100%, 74.6154%, 0%, 16.1538%, 0.769231%, 33.7838%, 89.1892%, 66.2162%, 48.6487%, 100%, 45.9459%
Eau de Lotus Bleu Roger & Gallet for women,for women, - citrus - white floral - floral - woody - fresh spicy - sweet - powdery, 29%, 27%, 44%, 60%, 100%, 0%, 4.44444%, 0%, 26.8293%, 75.6098%, 82.9268%, 21.9512%, 100%, 24.3902%
Feuille de Thé Roger & Gallet for women and men,for women and men, - citrus - green - fresh - aromatic - ozonic - woody, 58.9474%, 2.10526%, 38.9474%, 100%, 63.1579%, 10.5263%, 5.26316%, 0%, 38.8889%, 88.8889%, 88.8889%, 66.6667%, 100%, 33.3333%
Gingembre Rouge Limited Edition 2019 Roger & Gallet for women,for women, - woody - citrus - fruity - musky - white floral - warm spicy - powdery - fresh - sweet - tropical, 39.1304%, 0%, 60.8696%, 0%, 100%, 0%, 50%, 0%, 0%, 100%, 100%, 50%, 100%, 50%
Rose Imaginaire Roger & Gallet for women,for women, - fruity - woody - white floral - powdery - violet - citrus - sweet - patchouli - warm spicy - floral, 37.2294%, 24.6753%, 38.0952%, 41.25%, 100%, 2.5%, 11.25%, 0%, 17.3913%, 93.4783%, 58.6957%, 45.6522%, 100%, 34.7826%
Thé Fantaisie Roger & Gallet for women,for women, - citrus - aromatic - woody - green - fresh spicy - soft spicy - warm spicy - amber - fresh - earthy, 48.6154%, 12.3077%, 39.0769%, 100%, 96.4286%, 14.2857%, 16.0714%, 3.57143%, 13.4328%, 89.5522%, 92.5373%, 31.3433%, 100%, 8.95522%
Romeo Gigli Man Romeo Gigli for men,for men, - citrus - fresh spicy - woody - aromatic - warm spicy - green - cinnamon - patchouli, 37.0518%, 33.0677%, 29.8805%, 69.6429%, 100%, 5.35714%, 25%, 1.78571%, 14.2857%, 94.6429%, 94.6429%, 42.8571%, 100%, 14.2857%
Romeo Gigli per Uomo Romeo Gigli for men,for men, - woody - warm spicy - aromatic - amber - sweet - balsamic - citrus - powdery - vanilla - fresh spicy, 38.4466%, 34.7573%, 26.7961%, 100%, 72.9167%, 4.16667%, 12.5%, 2.08333%, 76.7857%, 75%, 42.8571%, 91.0714%, 96.4286%, 100%
S-Perfume S-Perfume for women and men,for women and men, - marine - salty - aromatic - musky - amber - powdery - woody - balsamic - aquatic - vanilla, 19.2982%, 3.50877%, 77.193%, 66.6667%, 100%, 0%, 0%, 0%, 14.2857%, 57.1429%, 85.7143%, 14.2857%, 100%, 0%
S-Perfume Jet Scent Remix 2.0 S-Perfume for women and men,for women and men, - powdery - musky - vanilla - woody - salty - marine - warm spicy - balsamic - sweet, 17.6471%, 8.82353%, 73.5294%, 100%, 0%, 0%, 0%, 0%, 100%, 100%, 0%, 100%, 100%, 0%
S-Perfume v1.05 Jet Scent S-Perfume for women and men,for women and men, - marine - salty - aromatic - sand - aquatic, 3.57143%, 0%, 96.4286%, 0%, 100%, 0%, 0%, 0%, 100%, 0%, 100%, 0%, 100%, 0%
Angelic Pink Salvador Dali for women,for women, - citrus - fruity - floral - woody - sweet - green - soft spicy - white floral - fresh - aromatic, 15.894%, 18.543%, 65.5629%, 50%, 100%, 11.1111%, 33.3333%, 0%, 7.69231%, 88.4615%, 65.3846%, 11.5385%, 100%, 15.3846%
Calice De La Seduction Eternelle Salvador Dali for women and men,for women and men, - woody - amber - patchouli - earthy - yellow floral - warm spicy - balsamic - aromatic - sweet, 28.7554%, 9.01288%, 62.2318%, 86.6667%, 100%, 10%, 36.6667%, 6.66667%, 94.4444%, 38.8889%, 22.2222%, 88.8889%, 44.4444%, 100%
Dali Eau de Toilette Salvador Dali for women,for women, - citrus - white floral - floral - musky - woody - powdery - rose - sweet - vanilla - animalic, 44.4264%, 28.5598%, 27.0138%, 37.8182%, 100%, 8%, 32.3636%, 0.727273%, 31.3253%, 89.1566%, 56.0241%, 54.2169%, 100%, 33.1325%
Dali Parfum de Toilette Salvador Dali for women,for women, - amber - warm spicy - white floral - woody - balsamic - powdery - green - aldehydic - yellow floral - fresh, 50.4054%, 37.3987%, 12.196%, 64.2186%, 100%, 4.35525%, 36.6781%, 1.11016%, 96.6997%, 24.6205%, 16.7657%, 85.4786%, 51.0231%, 100%
Fabulous 1 - Dali Salvador Dali for women,for women, - white floral - amber - green - powdery - woody - citrus - fresh - aldehydic - aromatic - warm spicy, 23.2%, 8%, 68.8%, 65.3846%, 100%, 0%, 19.2308%, 0%, 68.1818%, 27.2727%, 22.7273%, 40.9091%, 31.8182%, 100%
Fluidite Du Temps Imaginaire Salvador Dali for women,for women, - white floral - tuberose - woody - warm spicy - citrus - vanilla - powdery - animalic, 33.0049%, 7.88177%, 59.1133%, 64.8649%, 100%, 24.3243%, 29.7297%, 0%, 26.9231%, 100%, 50%, 53.8462%, 100%, 38.4615%
Melodie Du Cygne De La Main Salvador Dali for women,for women, - sweet - powdery - violet - fruity - vanilla - iris - woody - lactonic - floral - citrus, 25%, 11.8182%, 63.1818%, 51.2821%, 100%, 12.8205%, 15.3846%, 5.12821%, 88.8889%, 55.5556%, 27.7778%, 100%, 66.6667%, 66.6667%
Regard Scintillant de Mille Beautes Salvador Dali for women and men,for women and men, - rose - musky - floral - citrus - woody - powdery, 28.0423%, 7.40741%, 64.5503%, 100%, 91.6667%, 16.6667%, 25%, 0%, 44.4444%, 72.2222%, 44.4444%, 72.2222%, 100%, 72.2222%
Voyage Onirique Du Papillon De Vie Salvador Dali for women and men,for women and men, - white floral - tuberose - citrus - animalic, 26.0664%, 8.53081%, 65.4028%, 75%, 100%, 8.33333%, 19.4444%, 2.77778%, 45.4545%, 77.2727%, 77.2727%, 54.5455%, 100%, 40.9091%
Acqua Essenziale Salvatore Ferragamo for men,for men, - aromatic - fresh spicy - marine - green - woody - lavender, 53.0536%, 18.3215%, 28.625%, 61.343%, 100%, 11.2523%, 16.8784%, 0.725953%, 6.77362%, 74.5098%, 100%, 19.7861%, 93.9394%, 16.934%
Acqua Essenziale Blu Salvatore Ferragamo for men,for men, - amber - aromatic - citrus - woody - warm spicy - lavender - vanilla - earthy - fresh spicy - musky, 58.3646%, 13.3128%, 28.3227%, 83.0918%, 100%, 16.4251%, 14.8148%, 2.41546%, 31.3954%, 96.8992%, 96.77%, 70.5426%, 100%, 58.7855%
Acqua Essenziale Colonia Salvatore Ferragamo for men,for men, - aromatic - citrus - aquatic - white floral - lavender - fresh spicy - amber - soft spicy - fresh - woody, 53.392%, 13.526%, 33.0821%, 88.2353%, 100%, 15%, 20%, 3.23529%, 6.32319%, 89.4614%, 100%, 29.274%, 99.0632%, 23.8876%
Emozione Salvatore Ferragamo for women,for women, - powdery - floral - musky - iris - rose - vanilla - fresh - fruity - citrus - violet, 44.4921%, 22.4175%, 33.0904%, 57.4205%, 100%, 12.1908%, 31.9788%, 1.41343%, 37.6068%, 88.8889%, 45.0142%, 77.4929%, 100%, 37.8917%
Emozione Dolce Fiore Eau de Parfum Salvatore Ferragamo for women,for women, - citrus - rose - musky - floral - powdery - fresh - leather - fresh spicy - vanilla - fruity, 28.3688%, 9.92908%, 61.7021%, 44.4444%, 100%, 11.1111%, 5.55556%, 0%, 43.75%, 75%, 31.25%, 68.75%, 100%, 56.25%
Punta Ala Salvatore Ferragamo for women and men,for women and men, - citrus - woody - white floral - aromatic - fresh spicy - musky, 22%, 8%, 70%, 100%, 72.7273%, 36.3636%, 9.09091%, 9.09091%, 18.1818%, 72.7273%, 63.6364%, 72.7273%, 100%, 45.4545%
Punta Ala (2014) Salvatore Ferragamo for women and men,for women and men, - woody - citrus - aromatic - fresh - earthy, 33.0357%, 10.7143%, 56.25%, 100%, 83.3333%, 5.55556%, 22.2222%, 0%, 16.6667%, 91.6667%, 100%, 50%, 83.3333%, 33.3333%
Uomo Salvatore Ferragamo Salvatore Ferragamo for men,for men, - sweet - amber - warm spicy - aromatic - vanilla - woody - fresh spicy - musky - citrus, 56.0032%, 12.5738%, 31.4229%, 100%, 82.5696%, 12.3568%, 23.3224%, 2.45499%, 100%, 30.3672%, 9.88701%, 91.9492%, 53.7429%, 92.3729%
Uomo Salvatore Ferragamo Limited Edition Salvatore Ferragamo for men,for men, - warm spicy - amber - woody - sweet - aromatic - musky - fresh spicy - citrus - white floral - balsamic, 42.2018%, 9.78593%, 48.0122%, 100%, 37.7778%, 6.66667%, 13.3333%, 0%, 100%, 63.4146%, 17.0732%, 97.561%, 34.1463%, 100%
Uomo Salvatore Ferragamo Signature Salvatore Ferragamo for men,for men, - warm spicy - leather - aromatic - coffee - vanilla - citrus - cinnamon - sweet - amber - woody, 55.989%, 9.4011%, 34.6099%, 100%, 52.4696%, 14.413%, 10.6883%, 2.83401%, 100%, 37.0803%, 10.073%, 92.9197%, 48.2482%, 90.511%
Uomo Salvatore Ferragamo Urban Feel Salvatore Ferragamo for men,for men, - amber - woody - citrus - aromatic - ozonic - fresh spicy - musky - warm spicy - balsamic - patchouli, 57.1154%, 11.859%, 31.0256%, 89.3204%, 100%, 32.5243%, 26.699%, 4.85437%, 17.0648%, 98.2935%, 100%, 55.9727%, 97.2696%, 43.0034%
Stella Peony Stella McCartney for women,for women, - floral - fresh spicy - fresh - woody - rose - warm spicy - aromatic - patchouli, 38.5838%, 19.0751%, 42.341%, 79.1667%, 100%, 13.3333%, 45%, 0.833333%, 25.2747%, 94.5055%, 57.1429%, 47.2527%, 100%, 32.967%
Tommy Tommy Hilfiger for men,for men, - green - fresh spicy - citrus - fruity - aromatic - fresh - lavender - powdery - floral - rose, 54.9472%, 36.0632%, 8.98962%, 47.4449%, 100%, 14.5792%, 17.1343%, 1.80361%, 13.4563%, 86.6522%, 96.1476%, 32.6099%, 100%, 21.3782%
Bianco Trussardi for women,for women, - floral - fresh spicy - citrus - fruity - sweet - musky - aquatic - woody - warm spicy - ozonic, 17.4797%, 37.3984%, 45.122%, 56%, 100%, 1%, 21%, 1%, 19.7183%, 60.5634%, 80.2817%, 19.7183%, 100%, 18.3099%
V Valentino for women,for women, - woody - citrus - fruity - floral - sweet - powdery - amber - rose - vanilla - balsamic, 26.0945%, 53.6194%, 20.2861%, 74.9027%, 100%, 3.11284%, 24.1245%, 0.77821%, 66.4495%, 65.798%, 37.1336%, 77.5244%, 100%, 49.5114%
Valentina Valentino for women,for women, - white floral - earthy - sweet - fruity - vanilla - animalic - tuberose - citrus - powdery - amber, 38.8401%, 29.2091%, 31.9508%, 60.4006%, 100%, 5.30569%, 33.4153%, 0.562193%, 53.607%, 78.5337%, 31.3783%, 72.5513%, 100%, 46.4516%
Les Saisons Hiver Van Cleef & Arpels for women,for women, - citrus - fresh spicy - warm spicy - musky - aromatic - powdery - conifer - sweet - green - sour, 26.0274%, 26.2557%, 47.7169%, 48.8095%, 100%, 2.38095%, 25%, 0%, 63.0435%, 47.8261%, 80.4348%, 32.6087%, 100%, 6.52174%
Murmure Van Cleef & Arpels for women,for women, - white floral - floral - woody - citrus, 38.7358%, 38.8169%, 22.4473%, 59.204%, 100%, 3.48259%, 68.6567%, 1.49254%, 25%, 84.2105%, 35.5263%, 51.9737%, 100%, 28.9474%
Zanzibar Van Cleef & Arpels for men,for men, - warm spicy - aromatic - woody - citrus - fresh spicy, 33.2895%, 25.5263%, 41.1842%, 95.6897%, 100%, 7.75862%, 12.069%, 0%, 22.2222%, 83.9506%, 59.2593%, 53.0864%, 100%, 48.1481%
Bright Crystal Versace for women,for women, - floral - citrus - fresh - woody - fresh spicy - rose, 43.7318%, 41.605%, 14.6632%, 50.0158%, 100%, 14.5296%, 42.24%, 2.37067%, 14.7179%, 87.5128%, 78.2051%, 17.5769%, 100%, 14.859%
Bright Crystal Absolu Versace for women,for women, - floral - fruity - fresh - sweet - woody - citrus - aquatic - rose - fresh spicy - musky, 52.8552%, 25.2639%, 21.8809%, 72.9489%, 100%, 18.1926%, 33.7693%, 3.32937%, 16.8762%, 91.1979%, 87.4255%, 23.8253%, 100%, 24.8842%
Eros Pour Femme Versace for women,for women, - citrus - white floral - woody - musky - floral - fresh - fresh spicy - powdery - aromatic - amber, 52.7386%, 20.6059%, 26.6555%, 67.7125%, 100%, 18.3115%, 45.6931%, 3.36566%, 26.8755%, 89.8034%, 79.7524%, 45.0838%, 100%, 40.1311%
Eros Pour Femme Eau de Toilette Versace for women,for women, - citrus - fruity - sweet - white floral - floral - musky - fresh, 58.9228%, 17.8456%, 23.2316%, 97.7647%, 100%, 14.3529%, 22.3529%, 1.17647%, 18.6905%, 85.4762%, 88.4524%, 32.1429%, 100%, 24.6429%
Versace Pour Homme Versace for men,for men, - citrus - aromatic - fresh spicy - floral - rose - green, 59.5016%, 16.6751%, 23.8233%, 100%, 82.7708%, 10.7104%, 12.6701%, 1.38813%, 10.5126%, 78.2053%, 100%, 25.133%, 95.168%, 23.345%
Versace Pour Homme Dylan Blue Versace for men,for men, - amber - citrus - fresh spicy - musky - aquatic - warm spicy - woody - fresh - aromatic - smoky, 64.125%, 13.1587%, 22.7163%, 100%, 91.1075%, 19.0137%, 19.5635%, 2.9426%, 44.6466%, 100%, 98.5542%, 82.5252%, 98.7037%, 79.4341%
Hechizo Victorio & Lucchino for women,for women, - rose - fruity - white floral - sweet - patchouli - citrus - floral - musky - woody - powdery, 37.4384%, 23.6453%, 38.9163%, 62.8571%, 100%, 8.57143%, 42.8571%, 2.85714%, 81.4815%, 92.5926%, 51.8519%, 85.1852%, 100%, 100%
Belle d'Opium Yves Saint Laurent for women,for women, - white floral - fruity - amber - warm spicy - woody - sweet - balsamic - smoky - fresh spicy - tobacco, 45.3266%, 27.0198%, 27.6536%, 76.7024%, 100%, 2.86938%, 36.4026%, 0.513919%, 87.6486%, 27.8732%, 18.6262%, 85.469%, 54.6235%, 100%
M7 Yves Saint Laurent for men,for men, - oud - amber - aromatic - fresh spicy - citrus - woody - musky - powdery - earthy, 37.8214%, 19.5089%, 42.6697%, 100%, 50.0243%, 1.84915%, 15.8151%, 0.583942%, 96.3606%, 27.2953%, 13.1514%, 77.1712%, 43.0108%, 100%
Saharienne Yves Saint Laurent for women and men,for women and men, - white floral - citrus - aromatic - musky - fresh spicy - green - woody - fresh - floral - soft spicy, 35.5978%, 11.6848%, 52.7174%, 69.5238%, 100%, 24.7619%, 20.9524%, 0.952381%, 16.6667%, 87.5%, 95.8333%, 38.8889%, 100%, 19.4444%
Blooming Oud Zara for men,for men, - oud - leather - warm spicy - animalic - amber - aromatic - smoky, 60.4982%, 5.33808%, 34.1637%, 98.0392%, 100%, 9.80392%, 23.5294%, 9.80392%, 82.6667%, 62.6667%, 21.3333%, 100%, 72%, 84%
Bohemian Sunset In Barcelona Zara for women and men,for women and men, - citrus - aromatic - marine - woody - mineral - fresh spicy - salty, 48.1013%, 10.1266%, 41.7722%, 29.6296%, 100%, 18.5185%, 7.40741%, 7.40741%, 21.4286%, 92.8571%, 100%, 42.8571%, 92.8571%, 39.2857%
Elevated Oud Zara for men,for men, - oud - warm spicy - citrus - woody - sweet - fresh spicy - patchouli - vanilla - fresh - powdery, 64.1304%, 5.43478%, 30.4348%, 100%, 53.4351%, 10.687%, 9.92366%, 8.39695%, 100%, 54.4218%, 14.966%, 98.6395%, 60.5442%, 93.8776%
FLWR 001/ALM Zara for women,for women, - citrus - fresh spicy - green - floral - musky - aromatic - powdery, 52.1739%, 8.69565%, 39.1304%, 66.6667%, 100%, 52.381%, 4.7619%, 0%, 20.8333%, 95.8333%, 95.8333%, 41.6667%, 100%, 12.5%
Memorable Oud Zara for men,for men, - warm spicy - woody - oud - citrus - white floral - aromatic - patchouli - powdery - fresh - balsamic, 66.8224%, 6.07477%, 27.1028%, 100%, 100%, 44.8276%, 27.5862%, 24.1379%, 82.9268%, 73.1707%, 26.8293%, 100%, 82.9268%, 85.3659%
Morning Sunray In Sevilla Zara for women and men,for women and men, - citrus - aromatic - white floral - amber - fresh spicy - smoky - woody - balsamic - fresh, 58.046%, 10.9195%, 31.0345%, 72.7273%, 100%, 45.4545%, 13.6364%, 13.6364%, 6.25%, 78.125%, 100%, 37.5%, 81.25%, 25%
Nightfall In Madrid Zara for women and men,for women and men, - warm spicy - aromatic - vanilla - woody - amber - fresh spicy - sweet - powdery, 45.6954%, 9.27152%, 45.0331%, 22.7273%, 100%, 31.8182%, 4.54545%, 18.1818%, 66.6667%, 100%, 66.6667%, 94.4444%, 83.3333%, 88.8889%
Textures Green Zara for women,for women, - fresh - fruity - green - warm spicy - citrus - white floral - patchouli - fresh spicy - aromatic - woody, 13.6364%, 29.5455%, 56.8182%, 66.6667%, 100%, 0%, 33.3333%, 0%, 28.5714%, 85.7143%, 71.4286%, 14.2857%, 100%, 28.5714%
Textures Lilac Zara for women,for women, - warm spicy - chocolate - floral - sweet - fruity - cacao, 5.12821%, 33.3333%, 61.5385%, 80%, 100%, 0%, 20%, 0%, 60%, 100%, 60%, 80%, 100%, 100%
Textures Pink Zara for women,for women, - rose - white floral - soft spicy - sweet - fruity - floral - musky - fresh, 4.87805%, 21.9512%, 73.1707%, 40%, 100%, 0%, 20%, 0%, 25%, 75%, 100%, 25%, 100%, 75%
Virtuous Oud Zara for men,for men, - citrus - aromatic - fresh - woody - fresh spicy - ozonic - musky - oud - earthy - amber, 60.687%, 5.72519%, 33.5878%, 86.1111%, 100%, 36.1111%, 11.1111%, 11.1111%, 20.8333%, 97.9167%, 100%, 77.0833%, 97.9167%, 35.4167%
Zara For Her 2004 Zara for women,for women, - citrus - fresh - floral - rose - aldehydic - white floral - powdery - musky - aromatic, 12.069%, 32.7586%, 55.1724%, 46.1538%, 100%, 0%, 46.1538%, 0%, 36.3636%, 63.6364%, 54.5455%, 36.3636%, 100%, 18.1818%
Aqua Bergamota Zara Home for women and men,for women and men, - citrus - aromatic - fresh spicy, 40.7609%, 15.7609%, 43.4783%, 77.0833%, 100%, 4.16667%, 16.6667%, 2.08333%, 14.7059%, 79.4118%, 100%, 23.5294%, 97.0588%, 23.5294%
Evitorial Twist Zara Home for women and men,for women and men, - warm spicy - aromatic - lavender - musky - herbal - powdery - woody, 33.3333%, 13.5417%, 53.125%, 100%, 71.4286%, 0%, 23.8095%, 4.7619%, 69.2308%, 84.6154%, 38.4615%, 100%, 92.3077%, 61.5385%
Eau de Polder L’essence de Mastenbroek for women and men,for women and men, - green - fresh - herbal - floral - earthy - fresh spicy, 10.5263%, 6.01504%, 83.4586%, 100%, 75%, 0%, 18.75%, 0%, 25%, 83.3333%, 83.3333%, 66.6667%, 100%, 58.3333%
Deeply MariaLux for women,for women, - warm spicy - amber - cinnamon - vanilla - powdery, 29.8429%, 17.103%, 53.0541%, 100%, 93.8144%, 5.15464%, 32.9897%, 1.03093%, 80.9524%, 22.2222%, 7.93651%, 100%, 66.6667%, 85.7143%
Madly MariaLux for women,for women, - woody - amber - tuberose - white floral - balsamic - animalic, 33.4471%, 20.8191%, 45.7338%, 58.6207%, 100%, 12.069%, 29.3103%, 0%, 67.5676%, 40.5405%, 18.9189%, 100%, 100%, 43.2432%
Truly MariaLux for women,for women, - white floral - animalic, 34.1598%, 22.5895%, 43.2507%, 68.4932%, 100%, 2.73973%, 34.2466%, 1.36986%, 63.6364%, 100%, 39.3939%, 72.7273%, 90.9091%, 36.3636%
Green Morgane le Fay for women,for women, - floral - fruity - ozonic - aquatic - green - vanilla - powdery - fresh - rose - musky, 21.2766%, 6.38298%, 72.3404%, 73.3333%, 100%, 6.66667%, 40%, 0%, 0%, 72.7273%, 27.2727%, 18.1818%, 100%, 18.1818%
Absinth Nasomatto for women and men,for women and men, - aromatic - green - woody - fresh spicy - earthy - bitter, 42.9102%, 13.3135%, 43.7763%, 90.4685%, 100%, 18.2553%, 27.1405%, 2.58481%, 40.8521%, 100%, 56.391%, 93.985%, 99.2481%, 55.1378%
Baraonda Nasomatto for women and men,for women and men, - woody - whiskey - musky - rose - floral - amber - warm spicy, 48.0676%, 8.99849%, 42.934%, 100%, 45.9397%, 9.32715%, 9.51276%, 1.71694%, 94.5134%, 39.5167%, 20.0523%, 100%, 45.0686%, 87.8511%
Black Afgano Nasomatto for women and men,for women and men, - amber - smoky - oud - woody - cannabis - balsamic - green - aromatic - tobacco - warm spicy, 46.6854%, 13.2425%, 40.0721%, 100%, 57.4918%, 11.7426%, 26.3269%, 6.5054%, 100%, 29.9225%, 17.9535%, 88.8992%, 40.8062%, 99.1008%
Blamage Nasomatto for women and men,for women and men, - leather - woody - smoky - musky - animalic - powdery, 40.569%, 11.3799%, 48.0511%, 100%, 79.5276%, 19.3701%, 32.4409%, 5.66929%, 71.8929%, 74.761%, 23.327%, 100%, 79.3499%, 71.8929%
China White Nasomatto for women,for women, - powdery - woody - floral - musky - rose, 43.2369%, 13.8807%, 42.8825%, 84.9594%, 100%, 20.122%, 39.4309%, 5.69106%, 73.2026%, 86.6013%, 43.1373%, 97.7124%, 100%, 66.3399%
Duro Nasomatto for men,for men, - woody - leather - warm spicy - animalic - smoky, 44.8501%, 12.6426%, 42.5072%, 100%, 66.3436%, 14.0088%, 18.326%, 1.67401%, 92.6191%, 42.5%, 17.1429%, 100%, 57.2619%, 92.2619%
Fantomas Nasomatto for women and men,for women and men, - sweet - smoky - plastic - ozonic - aquatic - fruity - fresh - rubber - earthy - caramel, 41.3276%, 8.86565%, 49.8068%, 100%, 77.6978%, 32.9137%, 43.8849%, 35.4317%, 82.6172%, 95.5078%, 63.8672%, 100%, 94.7266%, 75.9766%
Hindu Grass Nasomatto for women and men,for women and men, - green - patchouli - woody - tobacco - warm spicy - fresh - earthy - balsamic, 31.3425%, 12.8767%, 55.7808%, 92.4901%, 100%, 5.92885%, 45.0593%, 1.97628%, 30.8642%, 91.9753%, 60.4938%, 75.3087%, 100%, 43.8272%
