nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Little Black Dress Weekend Avon for women,for women, - citrus - musky - white floral - sweet - patchouli, 60.1424%, 28.1139%, 11.7438%, 20.3125%, 100%, 12.5%, 42.1875%, 1.5625%, 25.9259%, 53.7037%, 68.5185%, 55.5556%, 100%, 33.3333%
A Thousand Wishes Bath & Body Works for women,for women, - fruity - sweet - floral - fresh - Champagne - tropical - almond - aldehydic - amber - citrus, 53.7374%, 22.0202%, 24.2424%, 66.7722%, 100%, 14.8734%, 16.7722%, 0.632911%, 81.1321%, 61.7925%, 50%, 67.4528%, 100%, 63.2076%
Fiji Sunshine Bath & Body Works for women,for women, - fruity - citrus - tropical - fresh - white floral - sweet, 78.0612%, 8.16327%, 13.7755%, 100%, 100%, 21.7391%, 8.69565%, 4.34783%, 0%, 50%, 100%, 0%, 80%, 6.66667%
Poppy Eau de Parfum Bath & Body Works for women,for women, - fruity - sweet - aquatic - green - floral - aromatic - fresh spicy - fresh - powdery, 69.403%, 8.20896%, 22.3881%, 65.2174%, 100%, 17.3913%, 8.69565%, 13.0435%, 3.7037%, 88.8889%, 77.7778%, 7.40741%, 100%, 11.1111%
Ed Hardy Love & Luck Christian Audigier for women,for women, - citrus - fruity - woody - sweet - powdery - vodka - musky - fresh spicy - soft spicy - aromatic, 49.5496%, 29.4895%, 20.961%, 61.126%, 100%, 6.70241%, 41.555%, 1.87668%, 17.2932%, 62.782%, 74.812%, 33.0827%, 100%, 27.0677%
Ed Hardy Skulls & Roses for Her Christian Audigier for women,for women, - fruity - sweet - caramel - white floral - ozonic - aquatic, 35.1893%, 16.0356%, 48.7751%, 68.9873%, 100%, 5.06329%, 29.1139%, 0.632911%, 22.619%, 61.9048%, 65.4762%, 64.2857%, 100%, 36.9048%
Ed Hardy Skulls & Roses for Him Christian Audigier for men,for men, - lavender - aromatic - citrus - fresh spicy - musky - mossy - warm spicy - powdery - earthy - herbal, 57.3351%, 14.5357%, 28.1292%, 59.292%, 100%, 20.354%, 27.4336%, 3.53982%, 40.6977%, 100%, 95.3488%, 67.4419%, 98.8372%, 72.093%
Ed Hardy Villain for Men Christian Audigier for men,for men, - fresh spicy - aromatic - woody - warm spicy - amber - citrus - powdery - lavender - herbal - musky, 56.5345%, 21.7327%, 21.7327%, 44.3787%, 100%, 7.69231%, 28.9941%, 2.36686%, 30.7018%, 100%, 77.193%, 63.1579%, 96.4912%, 70.1754%
Harajuku Lovers Wicked Style Music Harajuku Lovers for women,for women, - fruity - floral - sweet - white floral - fresh - musky - woody - powdery, 48.9985%, 21.8798%, 29.1217%, 46.6102%, 100%, 6.77966%, 12.7119%, 0.847458%, 19.7368%, 86.8421%, 65.7895%, 38.1579%, 100%, 25%
Idôle Lancôme for women,for women, - rose - musky - fruity - sweet - white floral - powdery - floral - citrus - aquatic - fresh, 61.232%, 15.2949%, 23.4731%, 83.0554%, 100%, 35.6164%, 42.0786%, 4.88386%, 31.4731%, 97.5354%, 69.4334%, 54.6742%, 100%, 32.6629%
Idôle Aura Lancôme for women,for women, - vanilla - rose - salty - white floral - powdery - musky - floral - marine - sweet, 57.4559%, 11.9366%, 30.6075%, 100%, 89.2691%, 51.633%, 44.168%, 8.08709%, 32.0833%, 98.6111%, 93.1944%, 57.9167%, 100%, 39.5833%
Idôle Eau de Parfum Limited Edition 2021 Lancôme for women,for women, - rose - vanilla - sweet - fruity - musky - powdery - floral - white floral - citrus - aquatic, 56.1576%, 12.8079%, 31.0345%, 23.0769%, 100%, 30.7692%, 23.0769%, 7.69231%, 16.6667%, 83.3333%, 41.6667%, 58.3333%, 100%, 16.6667%
Cuir de Russie Guerlain for women and men,for women and men, - amber - aromatic - woody - musky - powdery - earthy - animalic - iris - leather - fresh spicy, 13.4529%, 6.72646%, 79.8206%, 100%, 47.3684%, 0%, 0%, 0%, 71.4286%, 14.2857%, 42.8571%, 57.1429%, 85.7143%, 100%
Eau de Cologne du Coq Guerlain for men,for men, - citrus - fresh spicy - aromatic - fresh - white floral - lavender, 52.2488%, 15.9809%, 31.7703%, 77.4194%, 100%, 6.98925%, 13.9785%, 0.537634%, 14.4928%, 78.2609%, 95.6522%, 28.9855%, 100%, 18.8406%
Eau de Verveine Guerlain for women and men,for women and men, - citrus - fresh spicy - green, 13.5802%, 7.40741%, 79.0123%, 100%, 80%, 0%, 0%, 0%, 25%, 25%, 100%, 50%, 75%, 25%
Imperial Russe Guerlain for women and men,for women and men,, 7.69231%, 5.12821%, 87.1795%, 100%, 0%, 0%, 0%, 0%, 50%, 50%, 100%, 50%, 100%, 100%
Jicky Guerlain for women,for women, - aromatic - fresh spicy - citrus - lavender - vanilla - woody - amber - powdery - warm spicy - sweet, 39.5362%, 12.4104%, 48.0534%, 100%, 73.3232%, 5.79268%, 25.2287%, 2.97256%, 49.6307%, 72.0827%, 51.4032%, 76.0709%, 100%, 46.6765%
Jicky Eau de Toilette Guerlain for women,for women, - citrus - aromatic - fresh spicy - lavender - vanilla - amber - woody - warm spicy - powdery - leather, 67.5381%, 14.597%, 17.8649%, 100%, 56.9231%, 20%, 12.3077%, 4.61538%, 63.4615%, 94.2308%, 86.5385%, 100%, 98.0769%, 61.5385%
Jicky Extrait Guerlain for women,for women, - lavender - citrus - vanilla - aromatic - woody - warm spicy - fresh spicy - powdery - sweet - herbal, 56.2814%, 7.70519%, 36.0134%, 100%, 39.8148%, 1.85185%, 10.1852%, 0%, 61.7647%, 79.4118%, 70.5882%, 76.4706%, 100%, 52.9412%
Le 3e Homme de Caron Caron for men,for men, - aromatic - citrus - earthy - lavender - mossy - woody - fresh spicy - herbal - soft spicy, 51.4884%, 13.7062%, 34.8054%, 100%, 65.0246%, 4.92611%, 16.2562%, 1.14943%, 69.5876%, 86.5979%, 39.6907%, 95.3608%, 100%, 51.0309%
Oyedo Eau de Toilette Diptyque for women and men,for women and men, - citrus - aromatic - fresh spicy, 42.7486%, 19.2687%, 37.9827%, 59.7032%, 100%, 18.4932%, 37.5571%, 2.62557%, 14.3519%, 74.8457%, 100%, 17.1296%, 99.537%, 9.25926%
Parfum d'Hermes Hermès for women,for women, - amber - woody - warm spicy - green - floral - rose - balsamic - powdery - aromatic - aldehydic, 48.4375%, 17.6042%, 33.9583%, 100%, 82.069%, 5.51724%, 19.3103%, 0%, 80.7692%, 46.1538%, 30.7692%, 100%, 85.8974%, 69.2308%
Rouge Hermes Hermès for women,for women, - woody - powdery - rose - warm spicy - yellow floral - iris - amber - aromatic - sweet - floral, 42.8088%, 21.066%, 36.1252%, 98.8858%, 100%, 6.40669%, 37.883%, 1.11421%, 99.4792%, 32.8125%, 19.2708%, 100%, 64.5833%, 96.875%
Rouge Hermes Eau Delicate Hermès for women,for women, - amber - woody - aldehydic - rose - yellow floral - fresh - sweet - floral - musky - soapy, 40.7357%, 34.6049%, 24.6594%, 80.7692%, 100%, 6.73077%, 88.4615%, 3.84615%, 71.6418%, 50.7463%, 34.3284%, 83.5821%, 100%, 83.5821%
Mure et Musc Cologne L'Artisan Parfumeur for women and men,for women and men, - fruity - citrus - fresh spicy - musky - aromatic - sweet - green - powdery - herbal - fresh, 41.9725%, 23.3945%, 34.633%, 67.9487%, 100%, 7.69231%, 62.8205%, 2.5641%, 24.1379%, 70.6897%, 65.5172%, 50%, 100%, 29.3103%
Naema Arabesque Perfumes for women and men,for women and men, - fruity - woody - floral - soft spicy - animalic, 45.3728%, 13.8817%, 40.7455%, 79.1209%, 100%, 25.2747%, 43.956%, 2.1978%, 52.0833%, 100%, 89.5833%, 83.3333%, 93.75%, 47.9167%
Eau de Froehliche Erik Kormann for women and men,for women and men, - amber - warm spicy - sweet - vanilla - balsamic - powdery - fruity - woody - smoky - iris, 20.7792%, 6.49351%, 72.7273%, 100%, 62.5%, 0%, 37.5%, 0%, 100%, 50%, 0%, 50%, 100%, 50%
Eau de Froehliche No. 3 Erik Kormann for women and men,for women and men, - aromatic - woody - green - fruity - soft spicy - fresh spicy - fresh - musky, 14.0411%, 14.0411%, 71.9178%, 100%, 100%, 0%, 65%, 0%, 14.2857%, 71.4286%, 64.2857%, 35.7143%, 100%, 28.5714%
Intrigue de l’Amour 12 Parfumeurs Francais for women,for women, - woody - honey - sweet - powdery - nutty - vanilla - iris - floral - warm spicy, 19.0476%, 16.6667%, 64.2857%, 56.6667%, 100%, 26.6667%, 10%, 3.33333%, 100%, 63.6364%, 18.1818%, 63.6364%, 100%, 81.8182%
Intrigues des Hommes 12 Parfumeurs Francais for men,for men, - fresh spicy - woody - warm spicy - citrus - aromatic - vanilla - powdery - earthy, 45.4545%, 12.1212%, 42.4242%, 100%, 100%, 0%, 57.1429%, 14.2857%, 83.3333%, 66.6667%, 33.3333%, 66.6667%, 100%, 66.6667%
La Destinee 12 Parfumeurs Francais for women,for women, - powdery - white floral - musky - citrus - woody - patchouli - violet - floral - sweet, 35.7143%, 21.4286%, 42.8571%, 54.5455%, 100%, 0%, 13.6364%, 0%, 41.6667%, 83.3333%, 66.6667%, 50%, 100%, 33.3333%
